Year,Geo,Se0,AgeRangeLow,AgeRangeHigh,UnderEst,UnderEstLow95,UnderEstHigh95,NormalEst,NormalEstLow95,NormalEstHigh95,OverEst,OverEstLow95,OverEstHigh95,ObesesEst,ObeseLow95,ObeseHigh95
2009,Canada,B,3,17,0,0,0,0,0,0,0,0,0,0,0,0
2011,Canada,B,3,17,4.5,2.9,7,68.8,64.9,72.3,14.7,12.2,17.6,12,10.1,14.2
2013,Canada,B,3,17,5,3.2,7.7,69.3,65.8,72.5,13.8,11.3,16.8,12,9.5,14.9
2009,Canada,B,6,17,3.6,2.4,5.3,69.9,65,74.4,13.1,10.8,15.8,13.4,10.6,16.7
2011,Canada,B,6,17,5,3.1,7.9,69.5,64.9,73.8,14.1,11.3,17.5,11.4,9.7,13.4
2013,Canada,B,6,17,4.8,3,7.5,69.6,65.1,73.7,13,10,16.8,12.6,9.6,16.5
2009,Canada,B,3,5,0,0,0,0,0,0,0,0,0,0,0,0
2011,Canada,B,3,5,2.5,1.4,4.5,65.5,60.3,70.4,17.5,11.9,24.9,14.5,9.7,21
2013,Canada,B,3,5,0,0,0,67.8,58.5,75.9,17.2,11.2,25.5,9.3,6.2,13.7
2009,Canada,B,6,11,3.7,1.9,7.4,70.7,67.2,73.9,13.9,10.4,18.4,11.6,9,15
2011,Canada,B,6,11,4.3,2.1,8.6,70.5,64.6,75.7,12.4,10,15.4,12.7,9.8,16.4
2013,Canada,B,6,11,4.8,3,7.6,75,69.3,80,11.6,7.9,16.7,8.7,6,12.3
2009,Canada,B,12,17,3.5,1.8,6.7,69.3,61.3,76.3,12.4,9.9,15.3,14.8,9.4,22.6
2011,Canada,B,12,17,5.6,3.1,9.7,68.7,60.7,75.6,15.5,11.2,21.1,10.3,7.4,14
2013,Canada,B,12,17,4.8,2.7,8.5,64.7,56.8,71.9,14.3,10.5,19.1,16.2,11.1,23
2009,Canada,M,3,17,0,0,0,0,0,0,0,0,0,0,0,0
2011,Canada,M,3,17,5.9,3.7,9.2,66.5,61.4,71.2,12.9,9.9,16.6,14.7,11.8,18.3
2013,Canada,M,3,17,4.9,2.9,8.3,68,64,71.8,13,10,16.7,14.1,10.2,19.1
2009,Canada,M,6,17,3.5,2.3,5.2,67.6,63,71.9,13.4,11,16.2,15.5,12.1,19.7
2011,Canada,M,6,17,6.4,3.9,10.4,67.1,61.8,72,12.2,9.1,16.2,14.3,11.7,17.4
2013,Canada,M,6,17,0,0,0,67.9,62.2,73.1,13.1,9.8,17.1,15,10.3,21.2
2009,Canada,M,6,11,3.1,1.5,6.2,68.4,63.8,72.7,14.1,10.5,18.6,14.4,10.9,18.7
2011,Canada,M,6,11,0,0,0,66.2,57.3,74.2,11.3,8.2,15.4,18.5,14,24
2013,Canada,M,6,11,0,0,0,78.5,71.8,84,9.9,7.5,12.9,8,4.5,14.1
2009,Canada,M,12,17,3.8,2.1,6.8,66.9,59.3,73.7,12.8,9.4,17.3,16.5,9.9,26
2011,Canada,M,12,17,0,0,0,67.8,58.6,75.8,13,8.1,20.3,10.8,7.7,14.9
2013,Canada,M,12,17,0,0,0,58.3,47.9,68,15.9,10.4,23.6,21.2,12.7,33.2
2009,Canada,F,3,17,0,0,0,0,0,0,0,0,0,0,0,0
2011,Canada,F,3,17,3.1,1.7,5.5,71.2,65.9,76,16.7,12.9,21.3,9,6.9,11.7
2013,Canada,F,3,17,0,0,0,70.6,65.8,74.9,14.7,11,19.5,9.7,8,11.8
2009,Canada,F,6,17,3.7,2.3,6,72.5,65.8,78.3,12.8,10.1,15.9,11,8.1,14.6
2011,Canada,F,6,17,3.5,1.9,6.3,72.1,65.4,78,16.1,12.3,20.9,8.3,5.9,11.4
2013,Canada,F,6,17,0,0,0,71.5,66.3,76.2,12.9,8.5,19.1,10.2,7.3,13.9
2009,Canada,F,6,11,0,0,0,73.1,68,77.6,13.8,9.4,19.8,8.8,5.6,13.4
2011,Canada,F,6,11,4.7,2.6,8.3,75,70,79.4,13.7,10.7,17.3,6.7,4.2,10.5
2013,Canada,F,6,11,6,3.2,11,71.3,63.1,78.3,13.4,7.6,22.5,9.4,6.2,13.9
2009,Canada,F,11,17,0,0,0,72.1,60.7,81.2,11.9,9.3,15.1,12.9,7.4,21.6
2011,Canada,F,11,17,0,0,0,69.7,58,79.2,18.3,12.1,26.6,9.6,6,15.2
2013,Canada,F,11,17,0,0,0,71.6,63.8,78.3,12.5,8.1,18.7,10.9,7.4,15.6
