Food name,Measure,Weight ,Energy,Energy,Protein,Carbohydrate,Total Fat,Saturated Fat,Monounsaturated Fat,Polyunsaturated Fat,Cholesterol,Sodium,Total Sugars,Caffeine
,,g,kcal,kJ,g,g,g,g,g,g,mg,mg,g,mg
Egg white,1 large,33,16,66,3,0,0,0,0,0,0,-1,-1,-1
Egg yolk,1 large,17,59,249,3,1,6,1.7,2.3,0.8,202,-1,-1,-1
Fried egg,2 large,92,173,726,12,2,14,3.6,5.8,2.7,367,-1,-1,-1
Hard-boiled egg,1 large,50,78,324,6,1,5,1.6,2,0.7,216,-1,-1,-1
Poached egg,1 large,50,74,308,6,0,5,1.5,1.9,0.7,215,-1,-1,-1
Eggs benedict,2 eggs,310,572,2393,34,30,35,12.5,14.2,4.9,458,-1,-1,-1
Scrambled eggs,2 eggs,124,189,792,13,4,14,4.1,5.9,2.7,363,-1,-1,-1
Cheese omelet,2 eggs,150,273,1142,18,5,20,8,7.8,2.8,376,-1,-1,-1
Spanish Omelet,2 eggs,290,319,1336,15,13,24,5.7,10.4,6.3,353,-1,-1,-1
Western Omelet,2 eggs,158,237,993,17,5,17,5.1,7.3,2.9,346,-1,-1,-1
Butter,5mL,5,34,144,0,0,4,2.5,1,0.1,10,-1,-1,-1
Margarine,5mL,5,34,144,0,0,4,0.6,1.7,1.3,0,-1,-1,-1
Canola,15mL,14,125,525,0,0,14,1,8.4,4.2,0,-1,-1,-1
Olive,15mL,14,121,506,0,0,14,1.8,10.1,1.4,0,-1,-1,-1
Peanut,15mL,14,121,506,0,0,14,2.3,6.3,4.4,0,-1,-1,-1
Sesame,15mL,14,122,510,0,0,14,2,5.5,5.7,0,-1,-1,-1
Sunflower,15mL,14,122,510,0,0,14,1.4,2.7,9.1,0,-1,-1,-1
Bacon grease,15mL,12,110,459,0,0,12,4.8,5.5,1.4,12,-1,-1,-1
Lard,15mL,13,117,489,0,0,13,5.2,5.9,1.5,12,-1,-1,-1
Shortening,15mL,13,115,481,0,0,13,3.2,5.4,3.7,0,-1,-1,-1
Blue cheese dressing,15mL,16,78,327,1,1,8,1.5,1.9,4.3,3,-1,-1,-1
Creamy Caesar dressing,15mL,15,79,329,0,0,9,1.3,2,4.9,0,-1,-1,-1
French dressing,15mL,16,72,303,0,2,7,0.9,1.3,3.3,0,-1,-1,-1
Italian dressing,15mL,15,43,181,0,2,4,0.7,0.9,1.9,0,-1,-1,-1
Mayonnaise,15mL,14,100,419,0,1,11,1.7,2.7,6,5,-1,-1,-1
Ranch dressing,15mL,15,71,297,0,1,8,1.2,1.7,4.2,5,-1,-1,-1
Thousand Island,15mL,16,59,245,0,2,6,0.8,1.2,2.9,4,-1,-1,-1
Caramel-coated popcorn,250mL,37,160,670,1,29,20,1.9,5,1.3,2,-1,-1,-1
Low fat reduced salt microwave popcorn,250mL,8,34,144,1,6,0,1.1,1,0.1,0,-1,-1,-1
Cheesies,250mL,37,205,857,3,20,1,0.4,13,2.4,1,-1,-1,-1
Baked potato chips,1 small bag,43,202,843,2,31,2,2.1,8,1.1,0,-1,-1,-1
Plain potato chips,1 small bag,43,230,964,3,21,0,1.6,15,1.8,0,-1,-1,-1
Doritos,1 small bag,50,249,1042,4,31,2,2.7,13,2.5,2,-1,-1,-1
Banana chips,10 chips,14,73,304,0,8,5,1.1,5,4.1,0,-1,-1,-1
Beef jerky,1 stick,20,81,340,7,2,2,0.4,5,2.1,10,-1,-1,-1
Beer nuts,10 nuts,34,186,779,8,10,5,2.2,14,2,0,-1,-1,-1
Fruit to Go,1 bar,14,49,206,0,11,,0.5,1,0.6,0,-1,-1,-1
Salted pretzels,10 sticks,5,19,80,0,4,0,0.2,0,0,0,-1,-1,-1
0ail mix,60mL,38,176,735,5,17,,2.5,11,2.1,0,-1,-1,-1
Firm tofu,150g,150,189,791,21,3,11,1.3,1.8,2.7,0,26,-1,-1
Baked beans,175mL,188,177,738,9,40,1,0.2,0.2,0.2,0,633,-1,-1
Chickpeas,175mL,178,211,884,9,40,2,0.2,0.5,0.9,0,531,-1,-1
Falafel,1 ball,17,57,237,2,5,3,0.4,1.7,0.7,0,50,-1,-1
Peanuts,60mL,37,219,915,10,6,19,3.2,9.5,5.6,0,117,-1,-1
Almonds,60mL,35,209,874,8,7,18,1.4,11.8,4.4,0,119,-1,-1
Cashews,60mL,35,199,834,5,11,16,3.2,9.5,2.7,0,222,-1,-1
Tahini,30mL,30,181,757,5,6,16,2.3,6.2,7.2,0,35,-1,-1
Butterscotch,1 piece,5,21,87,0,5,0,0.1,-1,-1,0,21,4,0
Caramel,4 pieces,40,154,646,2,31,3,2.7,-1,-1,3,99,26,0
Chewing gum,1 stick,3,7,31,0,2,0,0,-1,-1,0,0,2,0
Chocolate Fudge,1 piece,17,70,292,0,13,2,1,-1,-1,2,8,13,1
Jellybeans,10 beans,28,105,439,0,26,0,0,-1,-1,0,14,20,0
Twizzlers,3 s0ips,38,132,553,1,30,1,0,-1,-1,0,108,15,0
Marshmallows,1,7,23,96,0,6,0,0,-1,-1,0,6,4,0
Skittles,10 candies,11,43,181,0,10,0,0.1,-1,-1,0,2,8,0
Chocolate covered almonds,10,32,180,752,4,15,12,4.8,-1,-1,4,16,12,
Kit Kat,1 bar,42,218,910,3,27,11,7.5,-1,-1,5,23,20,6
M&M's,1 package,142,713,2985,7,97,33,20.5,-1,-1,21,97,89,
Reese's,3 cups,51,263,1099,5,28,16,5.5,-1,-1,3,160,24,9
Fudgesicle,1,51,65,271,3,14,0,0.2,-1,-1,2,48,10,
Chocolate frozen yogourt,125mL,91,116,484,3,20,3,2.1,-1,-1,12,57,20,3
Ice cream sandwich,1,59,143,598,3,22,6,3.2,-1,-1,20,36,14,1
Vanilla ice cream,125mL,113,282,1177,4,25,18,11.7,-1,-1,104,69,23,0
Oreo McFlurry,1 small,275,575,2404,13,89,20,10.5,-1,-1,63,368,68,5
Jello,125mL,143,88,369,2,20,0,0,-1,-1,0,107,19,0
Chai latte,250mL,242,149,624,5,26,3,2,-1,-1,13,67,26,13
Coffee,250mL,250,2.5,10,0,0,0,0,-1,-1,0,5,0,100
Latte,250mL,256,101,420,5,7,6,3.5,-1,-1,16,79,9,193
Iced cappuccino,250mL, ,211,886,2,28,9,5,-1,-1,38,42,28,
Frappuccino,250mL,,127,533,3,26,2,1,-1,-1,7,120,22,60
Iced tea,250mL,254,91,383,0,23,0,0,-1,-1,0,53,23,
Coke,250mL,262,110,461,0,28,0,0,-1,-1,0,10,24,26
Diet Coke,250mL,250,3,10,0,0,0,0,-1,-1,0,13,0,35
Gatorade,250mL,258,67,281,0,16,0,0,-1,-1,0,101,14,
Beer,1 bottle,342,183,766,1,10,0,0,-1,-1,0,17,,0
Sangria,125mL,123,87,365,0,12,0,0,-1,-1,0,13,10,0
Vodka cooler,1 bottle,390,220,799,0,33,1,0,-1,-1,0,12,12,0
Red wine,125mL,125,90,375,0,2,0,0,-1,-1,0,6,1,0
White wine,125mL,125,85,354,0,1,0,0,-1,-1,0,6,1,0
